"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,STR",0.85,85.0
"BABYFOOD,DSSRT,DUTCH APPL,JR",0.79,79.0
"BABYFOOD,DSSRT,DUTCH APPL,STR",0.68,68.0
"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,JR",0.63,63.0
"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,STR",0.59,59.0
"BABYFOOD,DSSRT,FRUIT PUDD,ORANGE,STR",0.80,80.0
"BABYFOOD,DSSRT,FRUIT PUDD,PNAPPL,JR",0.87,87.0
"BABYFOOD,DSSRT,FRUIT PUDD,PNAPPL,STR",0.81,81.0
"BABYFOOD,DSSRT,PEACH COBBLER,JR",0.67,67.0
"BABYFOOD,DSSRT,PEACH COBBLER,STR",0.65,65.0
"BABYFOOD,DSSRT,TROPICAL FRUIT,JR",0.60,60.0
"BABYFOOD,FRUIT&VEG,APPL&SWT POTATO",0.63,63.0
"BABYFOOD,FRUIT,APPL&BLUEBY,JR",0.62,62.0
"BABYFOOD,FRUIT,APPL&BLUEBY,STR",0.61,61.0
"BABYFOOD,FRUIT,APPL&RASPBY,W/SUGAR,JR",0.58,58.0
"BABYFOOD,FRUIT,APPL&RASPBY,W/SUGAR,STR",0.58,58.0
"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",0.66,66.0
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR",0.47,47.0
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR",0.45,45.0
"BABYFOOD,FRUIT,APPLSAUC&CHIES,JR",0.56,56.0
"BABYFOOD,FRUIT,APPLSAUC&CHIES,STR",0.51,51.0
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR",0.39,39.0
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",0.37,37.0
"BABYFOOD,FRUIT,APPLSAUC,JR",0.37,37.0
"BABYFOOD,FRUIT,APPLSAUC,STR",0.41,41.0
